StudentID,Age,email,hrsStudy,FinalGrade
80811,21,s80811@oslomet.no,6,51
25452,24,s25452@oslomet.no,10,41
11758,33,s11758@oslomet.no,6,54
32946,31,s32946@oslomet.no,10,24
84163,25,s84163@oslomet.no,7,71
47412,20,s47412@oslomet.no,5,46
31235,33,s31235@oslomet.no,1,72
66815,21,s66815@oslomet.no,8,35
26584,27,s26584@oslomet.no,10,31
55586,24,s55586@oslomet.no,7,31
56387,32,s56387@oslomet.no,9,29
85370,29,s85370@oslomet.no,2,77
28895,19,s28895@oslomet.no,10,68
74289,31,s74289@oslomet.no,6,45
29254,22,s29254@oslomet.no,10,88
15976,32,s15976@oslomet.no,9,78
20161,22,s20161@oslomet.no,11,90
99823,23,s99823@oslomet.no,10,56
41908,24,s41908@oslomet.no,0,62
63135,26,s63135@oslomet.no,9,39
44561,28,s44561@oslomet.no,10,78
15467,27,s15467@oslomet.no,1,26
15077,22,s15077@oslomet.no,0,65
83390,22,s83390@oslomet.no,7,88
33041,21,s33041@oslomet.no,2,97
35600,30,s35600@oslomet.no,11,70
13352,333,s13352@oslomet.no,4,34
15406,31,s15406@oslomet.no,2,68
30158,21,s30158@oslomet.no,3,37
17907,21,s17907@oslomet.no,6,68
59109,32,s59109@oslomet.no,7,97
95648,23,s95648@oslomet.no,3,38
41092,33,s41092@oslomet.no,10,42
84127,20,s84127@oslomet.no,5,92
88403,29,s88403@oslomet.no,11,62
42989,27,s42989@oslomet.no,0,80
67086,22,s67086@oslomet.no,10,51
